,US Height (in),Swedish Height (in),,,,,,
1,69.12,74.56,,,,,,
2,66.88,71.89,,,,,,
3,74.82,73,,,,,,
4,67,67.78,,,,,,
5,69.12,72.22,,,,,,
6,65,68,,,,,,
7,71,73.56,,,,,,
8,66.76,75,,,,,,
9,72.12,68.22,,,,,,
10,72.94,69,,,,,,
11,69.18,68,,,,,,
12,66.18,72,,,,,,
13,64.94,73.56,,,,,,
14,71.76,72.56,,,,,,
15,70.12,75,,,,,,
16,71,68.33,,,,,,
17,71.88,71.67,,,,,,
18,65.24,72.44,,,,,,
19,70.06,75,,,,,,
20,71.94,71.89,,,,,,
21,72.12,72,,,,,,
22,66.88,70,,,,,,
23,73.82,69.22,,,,,,
24,74,74.44,,,,,,
25,71.18,68,,,,,,
26,67.88,73.89,,,,,,
27,65.94,70,,,,,,
28,68.88,70.44,,,,,,
29,68,70.22,,,,,,
30,75.12,73,,,,,,